sequence_name,difference
airplane5,22.726514266644415
animal2,52.48059399257509
ball15,-74.755822689707
bike8,9.104678559407613
book3,-17.96536796536797
book13,-114.42339647723495
box6,8.598452278589853
cap8,-7.128007128007123
car14,27.09497206703911
car24,23.8551477752517
car33,-167.52440106477374
car40,-2.319012932956745
cup10,-7.324938574938568
extra8,20.21436945235304
flag3,-46.01108033240997
fruit3,10.667920978363126
fruit8,-12.349602724177084
glasses5,-172.7788279773157
glow8,27.184959349593495
hand12,-368.90243902439033
head6,-8.785864807910523
human33,9.71016265133912
logo14,-94.22948632421613
object3,-11.888379204892964
plant6,-71.78947368421052
scissor2,17.017828200972453
umbrella3,-7.282161388441582
